Potato Crisps                 1
Stackers                      1
Grain Waves                   0
Cloud Popcorn                 0
Moonpie                       0
Cowtales                      0
Wonka Bar                     0
Crunchie                      0
Cola                          0
Dr. Salt                      1
Mountain Melter               0
Heavy                         0
U-Chews                       0
Little League Chew            0
Chiclets                      0
Triplemint                    0


Total Gross Sales: $6.30


Potato Crisps                 2
Stackers                      1
Grain Waves                   0
Cloud Popcorn                 0
Moonpie                       0
Cowtales                      0
Wonka Bar                     0
Crunchie                      0
Cola                          0
Dr. Salt                      1
Mountain Melter               0
Heavy                         0
U-Chews                       0
Little League Chew            0
Chiclets                      0
Triplemint                    1


Total Gross Sales: $10.10


Potato Crisps                 1
Stackers                      0
Grain Waves                   0
Cloud Popcorn                 0
Moonpie                       0
Cowtales                      0
Wonka Bar                     0
Crunchie                      0
Cola                          0
Dr. Salt                      0
Mountain Melter               0
Heavy                         0
U-Chews                       0
Little League Chew            0
Chiclets                      0
Triplemint                    0


Total Gross Sales: $3.05


